firmid,cdid,id,price,const,hpwt,air,mpg,space,share,outshr
15,1,129,4.9358,1,0.529,0,1.697,1.1502,0.0010513,0.88011
15,1,130,5.516,1,0.49432,0,1.74,1.278,0.00067008,0.88011
15,1,132,7.1086,1,0.46761,0,1.543,1.4592,0.00034053,0.88011
15,1,134,6.8395,1,0.42654,0,1.517,1.6068,0.00052224,0.88011
15,1,136,8.9284,1,0.45249,0,1.352,1.6458,0.00044242,0.88011
19,1,138,7.1531,1,0.45087,0,1.552,1.6224,0.0027561,0.88011
19,1,141,9.8568,1,0.564,0,1.553,1.768,0.0026506,0.88011
19,1,143,11.269,1,0.73137,0,1.972,1.768,0.00048734,0.88011
19,1,144,12.136,1,0.71901,0,1.848,1.816,0.0024151,0.88011
19,1,145,12.97,1,0.72832,0,1.778,1.744,0.0005514,0.88011
19,1,146,15,1,0.73248,0,1.724,1.808,0.0001272,0.88011
19,1,147,16.044,1,0.72939,0,1.719,1.808,0.0027046,0.88011
19,1,148,18.23,1,0.78075,0,1.814,1.776,0.00053412,0.88011
19,1,149,19.168,1,0.71651,0,1.701,1.832,0.00033286,0.88011
19,1,150,5.1605,1,0.41938,0,1.988,1.122,0.0040049,0.88011
19,1,151,5.9383,1,0.48723,0,1.62,1.387,0.0035328,0.88011
19,1,153,6.6099,1,0.45171,0,1.512,1.5352,0.00503,0.88011
19,1,158,7.2123,1,0.46865,0,1.456,1.41,0.0018118,0.88011
19,1,160,8.4346,1,0.70241,0,1.442,1.5732,0.0021865,0.88011
19,1,161,7.6444,1,0.38853,0,1.274,1.736,0.0003803,0.88011
19,1,163,7.9827,1,0.38853,0,1.274,1.736,0.00073169,0.88011
19,1,165,8.3728,1,0.38564,0,1.264,1.736,0.0086585,0.88011
19,1,167,10.207,1,0.63119,0,1.315,1.736,0.0020888,0.88011
19,1,169,13.662,1,0.84322,0,1.683,1.2627,0.000358,0.88011
16,1,170,10.346,1,0.65931,0,1.374,1.8,0.0010378,0.88011
16,1,171,11.573,1,0.77528,0,1.49,1.8,0.00011968,0.88011
16,1,172,12.123,1,0.77278,0,1.702,1.8,0.00033867,0.88011
16,1,173,4.9259,1,0.49505,0,2.095,1.0168,0.00042566,0.88011
16,1,177,6.0494,1,0.43103,0,1.752,1.379,0.0031208,0.88011
16,1,179,6.7333,1,0.41391,0,1.487,1.4784,0.00044028,0.88011
16,1,181,6.8568,1,0.44684,0,1.451,1.6146,0.0018469,0.88011
16,1,184,6.684,1,0.45101,0,1.388,1.5862,6.02E-05,0.88011
16,1,186,8.1432,1,0.38615,0,1.239,1.768,0.0010769,0.88011
16,1,188,10.427,1,0.67901,0,1.399,1.768,0.00027394,0.88011
18,1,190,4.7383,1,0.38481,0,2.037,1.141,0.0049234,0.88011
18,1,192,5.5185,1,0.38417,0,1.915,1.3277,0.0037139,0.88011
18,1,194,6.5975,1,0.4643,0,1.538,1.5939,0.0040303,0.88011
18,1,197,7.1877,1,0.49777,0,1.557,1.425,0.0018437,0.88011
18,1,201,8.1185,1,0.38095,0,1.311,1.736,0.0005091,0.88011
18,1,203,8.8741,1,0.37685,0,1.297,1.736,0.0033081,0.88011
18,1,205,9.7062,1,0.60286,0,1.301,1.736,0.0048151,0.88011
18,1,207,13.074,1,0.82023,0,1.843,1.677,0.00057725,0.88011
18,1,209,18.319,1,0.71964,0,1.869,1.8,0.00053695,0.88011
18,1,210,21.76,1,0.72956,0,1.771,1.736,0.00044736,0.88011
18,1,212,5.637,1,0.38285,0,1.912,1.3419,0.00093546,0.88011
18,1,214,6.8593,1,0.44919,0,1.482,1.638,0.00086128,0.88011
